timestamp,	input,	theta,	theta_dot,	pos,	vel
31570,	-2.89,	-0.01,	0.00,	16.65,	1.63
31581,	-3.18,	-0.01,	0.00,	16.67,	1.59
31591,	-3.56,	-0.01,	0.00,	16.68,	1.56
31601,	-3.97,	-0.01,	0.00,	16.70,	1.52
31611,	-4.45,	-0.01,	0.00,	16.71,	1.47
31621,	-4.99,	-0.01,	0.00,	16.73,	1.42
31631,	-5.61,	-0.01,	0.00,	16.74,	1.37
31641,	-6.32,	-0.01,	0.00,	16.76,	1.30
31651,	-7.14,	-0.01,	0.00,	16.77,	1.23
31661,	-8.05,	-0.01,	0.07,	16.78,	1.15
31671,	90.54,	-0.01,	0.05,	16.80,	2.07
31682,	12.81,	-0.01,	0.02,	16.82,	2.20
31692,	20.64,	-0.01,	-0.07,	16.84,	2.41
31702,	-74.95,	-0.01,	-0.07,	16.86,	1.66
31712,	3.89,	-0.01,	-0.03,	16.88,	1.70
31722,	-1.07,	-0.01,	-0.01,	16.90,	1.69
31732,	-0.90,	-0.01,	-0.12,	16.91,	1.68
31742,	-100.41,	-0.01,	0.06,	16.92,	0.66
31752,	74.62,	-0.01,	0.05,	16.93,	1.41
31762,	-10.29,	-0.01,	0.02,	16.95,	1.31
31772,	-5.61,	-0.01,	0.01,	16.96,	1.25
31783,	-6.54,	-0.01,	0.01,	16.97,	1.19
31793,	-7.46,	-0.01,	0.00,	16.99,	1.11
31803,	-8.44,	-0.01,	0.00,	17.00,	1.03
31813,	-9.56,	-0.01,	0.00,	17.01,	0.93
31823,	-10.85,	-0.01,	0.00,	17.02,	0.82
31833,	-12.32,	-0.01,	0.00,	17.02,	0.69
31843,	-14.08,	-0.01,	0.00,	17.03,	0.55
31853,	-15.89,	-0.01,	0.07,	17.03,	0.39
31863,	81.51,	-0.01,	-0.01,	17.04,	1.21
31873,	2.35,	-0.01,	-0.01,	17.05,	1.23
31883,	8.64,	-0.01,	-0.07,	17.07,	1.32
31894,	-88.89,	-0.01,	0.06,	17.08,	0.42
31904,	86.28,	-0.01,	0.06,	17.08,	1.29
31914,	3.50,	-0.01,	0.03,	17.10,	1.33
31924,	10.61,	-0.01,	-0.06,	17.11,	1.43
31934,	-87.83,	-0.01,	0.05,	17.12,	0.55
31944,	88.36,	-0.01,	0.03,	17.13,	1.45
31954,	6.15,	-0.01,	-0.06,	17.15,	1.51
31964,	-86.18,	-0.01,	-0.03,	17.16,	0.64
31974,	-8.22,	-0.01,	-0.02,	17.16,	0.56
31984,	-15.17,	-0.01,	0.07,	17.17,	0.41
31995,	82.29,	-0.01,	0.03,	17.18,	1.24
32005,	3.81,	-0.01,	-0.09,	17.19,	1.28
32015,	-88.41,	-0.01,	-0.04,	17.20,	0.38
32025,	-11.53,	-0.01,	0.04,	17.20,	0.26
32035,	80.55,	-0.01,	0.02,	17.21,	1.07
32045,	1.68,	-0.01,	0.01,	17.22,	1.09
32055,	8.03,	-0.01,	0.00,	17.23,	1.17
32065,	8.71,	-0.01,	0.00,	17.24,	1.25
32075,	10.07,	-0.01,	0.00,	17.26,	1.36
32085,	11.58,	-0.01,	-0.08,	17.27,	1.47
32095,	-86.35,	-0.01,	-0.05,	17.28,	0.60
32105,	-7.75,	-0.01,	-0.05,	17.29,	0.53
32116,	-14.64,	-0.01,	0.01,	17.29,	0.38
32126,	180.20,	-0.01,	-0.07,	17.30,	2.20
32136,	-71.66,	-0.01,	-0.04,	17.32,	1.47
32146,	19.87,	-0.01,	-0.02,	17.34,	1.67
32156,	16.19,	-0.01,	-0.01,	17.36,	1.84
32166,	19.04,	-0.01,	-0.07,	17.37,	2.03
32176,	-77.91,	-0.01,	-0.05,	17.39,	1.24
32186,	2.00,	-0.01,	-0.02,	17.40,	1.27
32196,	-3.52,	-0.01,	-0.01,	17.42,	1.23
32206,	-3.59,	-0.01,	-0.01,	17.43,	1.19
32216,	-3.99,	-0.01,	-0.00,	17.44,	1.15
32226,	-4.50,	-0.01,	-0.00,	17.45,	1.11
32236,	-5.04,	-0.01,	-0.00,	17.46,	1.06
32246,	-5.70,	-0.01,	-0.00,	17.47,	1.00
32257,	-6.43,	-0.01,	-0.00,	17.48,	0.93
32267,	-7.25,	-0.01,	0.08,	17.49,	0.86
32277,	90.93,	-0.01,	-0.04,	17.51,	1.78
32287,	-85.40,	-0.01,	-0.02,	17.52,	0.92
32297,	-1.37,	-0.01,	-0.01,	17.53,	0.91
32307,	-7.68,	-0.01,	-0.01,	17.54,	0.83
32317,	-8.29,	-0.01,	0.06,	17.54,	0.75
32327,	90.37,	-0.01,	0.02,	17.56,	1.65
32337,	12.39,	-0.01,	0.01,	17.57,	1.78
32347,	20.14,	-0.01,	-0.07,	17.59,	1.98
32357,	-75.91,	-0.01,	-0.03,	17.61,	1.22
32367,	3.15,	-0.01,	-0.02,	17.62,	1.25
32377,	-2.09,	-0.01,	-0.01,	17.63,	1.23
32388,	-1.92,	-0.01,	-0.00,	17.65,	1.21
32398,	-2.12,	-0.01,	-0.00,	17.66,	1.19
32408,	-2.35,	-0.01,	-0.00,	17.67,	1.17
32418,	-2.60,	-0.01,	-0.00,	17.68,	1.14
32428,	-2.89,	-0.01,	-0.00,	17.69,	1.11
32438,	-3.22,	-0.01,	-0.00,	17.70,	1.08
32448,	-3.59,	-0.01,	-0.00,	17.72,	1.05
32458,	-4.03,	-0.01,	-0.00,	17.73,	1.00
32468,	-4.61,	-0.01,	-0.00,	17.74,	0.96
32479,	-5.11,	-0.01,	-0.00,	17.75,	0.91
32489,	-5.62,	-0.01,	-0.00,	17.75,	0.85
32499,	-6.47,	-0.01,	0.08,	17.76,	0.78
32509,	91.42,	-0.01,	0.08,	17.78,	1.71
32519,	14.72,	-0.01,	-0.02,	17.79,	1.86
32529,	-77.90,	-0.01,	-0.01,	17.81,	1.08
32539,	2.48,	-0.01,	-0.01,	17.82,	1.10
32549,	-2.98,	-0.01,	-0.00,	17.83,	1.07
32559,	-2.94,	-0.01,	-0.00,	17.84,	1.04
32569,	-3.29,	-0.01,	-0.00,	17.85,	1.01
32579,	-3.71,	-0.01,	0.08,	17.86,	0.97
32589,	95.20,	-0.01,	0.09,	17.88,	1.93
32600,	18.33,	-0.01,	-0.01,	17.90,	2.11
32610,	-71.99,	-0.01,	-0.01,	17.91,	1.38
32620,	7.42,	-0.01,	0.03,	17.93,	1.46
32630,	2.74,	-0.01,	0.01,	17.94,	1.48
32640,	3.59,	-0.01,	0.01,	17.96,	1.52
32650,	4.18,	-0.01,	-0.07,	17.97,	1.56
32660,	-93.94,	-0.01,	0.08,	17.98,	0.61
32670,	80.94,	-0.01,	0.11,	17.99,	1.42
32680,	96.24,	-0.01,	-0.01,	18.01,	2.40
32690,	-72.57,	-0.01,	-0.07,	18.03,	1.67
32701,	-86.50,	-0.01,	-0.05,	18.05,	0.79
32711,	-14.82,	-0.01,	-0.05,	18.05,	0.64
32721,	-22.36,	-0.01,	0.08,	18.06,	0.41
32731,	175.10,	-0.01,	0.03,	18.07,	2.17
32741,	17.63,	-0.01,	0.02,	18.10,	2.35
32751,	32.03,	-0.01,	-0.10,	18.12,	2.68
32761,	-62.44,	-0.01,	-0.04,	18.14,	2.05
32771,	18.35,	-0.01,	-0.02,	18.17,	2.24
32781,	15.17,	-0.01,	-0.12,	18.19,	2.39
32791,	-80.66,	-0.01,	-0.05,	18.21,	1.57
32801,	-2.39,	-0.01,	-0.02,	18.22,	1.55
32811,	-8.47,	-0.01,	-0.01,	18.24,	1.46
32822,	-9.20,	-0.01,	-0.01,	18.25,	1.37
32832,	-10.44,	-0.01,	-0.00,	18.27,	1.27
32842,	-11.84,	-0.01,	-0.00,	18.28,	1.15
32852,	-13.71,	-0.01,	-0.00,	18.29,	1.01
32862,	-15.04,	-0.01,	-0.00,	18.30,	0.85
32872,	-17.41,	-0.01,	-0.00,	18.31,	0.68
32882,	-19.80,	-0.01,	0.07,	18.31,	0.48
32892,	76.57,	-0.01,	0.10,	18.32,	1.25
32903,	96.04,	-0.01,	-0.01,	18.34,	2.23
32913,	-72.39,	-0.01,	-0.01,	18.36,	1.49
32923,	12.27,	-0.01,	-0.08,	18.37,	1.62
32933,	7.40,	-0.01,	-0.14,	18.39,	1.69
32943,	-90.16,	-0.01,	-0.09,	18.40,	0.79
32953,	-12.21,	-0.01,	-0.04,	18.41,	0.67
32963,	-19.68,	-0.01,	0.15,	18.42,	0.47
32973,	174.91,	-0.01,	-0.05,	18.43,	2.23
32983,	-78.37,	-0.01,	-0.15,	18.45,	1.43
32993,	-86.40,	-0.01,	0.05,	18.46,	0.56
33003,	83.34,	-0.01,	0.09,	18.47,	1.39
33013,	99.53,	-0.01,	0.06,	18.49,	2.40
33024,	29.27,	-0.01,	-0.10,	18.51,	2.70
33034,	-158.62,	-0.01,	-0.04,	18.53,	1.11
33044,	-1.49,	-0.01,	0.09,	18.54,	1.09
33054,	85.62,	-0.01,	0.04,	18.56,	1.95
33064,	8.72,	-0.01,	-0.03,	18.58,	2.04
33074,	-83.88,	-0.01,	-0.02,	18.60,	1.19
33084,	-5.26,	-0.01,	-0.01,	18.61,	1.14
33094,	-11.84,	-0.01,	-0.03,	18.62,	1.02
33104,	-13.06,	-0.01,	-0.02,	18.63,	0.89
33114,	-14.85,	-0.01,	-0.02,	18.64,	0.73
33124,	-16.89,	-0.01,	0.01,	18.64,	0.57
33134,	80.73,	-0.01,	-0.04,	18.65,	1.37
33144,	1.20,	-0.01,	-0.02,	18.67,	1.39
33154,	7.33,	-0.01,	0.03,	18.68,	1.46
33164,	8.08,	-0.01,	0.01,	18.70,	1.54
33174,	9.33,	-0.01,	0.01,	18.71,	1.63
33185,	10.76,	-0.01,	-0.07,	18.73,	1.74
33195,	-86.28,	-0.01,	0.05,	18.74,	0.87
33205,	89.61,	-0.01,	0.02,	18.75,	1.76
33215,	6.92,	-0.01,	-0.10,	18.77,	1.83
33225,	-84.48,	-0.01,	-0.04,	18.79,	0.98
33235,	-6.98,	-0.01,	0.10,	18.80,	0.91
33245,	85.97,	-0.01,	0.06,	18.81,	1.77
33255,	7.86,	-0.01,	-0.09,	18.83,	1.85
33265,	-84.69,	-0.01,	-0.04,	18.84,	1.00
33275,	-6.24,	-0.01,	-0.02,	18.85,	0.94
33285,	-12.86,	-0.01,	0.06,	18.86,	0.81
33295,	85.22,	-0.01,	-0.05,	18.87,	1.68
33305,	-91.60,	-0.01,	-0.03,	18.89,	0.75
33315,	-9.09,	-0.01,	-0.03,	18.89,	0.66
33326,	-16.50,	-0.01,	0.02,	18.90,	0.49
33336,	177.07,	-0.01,	-0.07,	18.91,	2.27
33346,	-75.02,	-0.01,	-0.04,	18.93,	1.51
33356,	16.55,	-0.01,	-0.09,	18.95,	1.68
33366,	-86.38,	-0.01,	0.03,	18.96,	0.80
33376,	89.94,	-0.01,	0.02,	18.97,	1.71
33386,	7.64,	-0.01,	-0.10,	18.99,	1.79
33396,	-83.34,	-0.01,	-0.04,	19.00,	0.95
33406,	-6.09,	-0.01,	0.06,	19.01,	0.89
33417,	86.97,	-0.01,	0.04,	19.03,	1.77
33427,	9.10,	-0.01,	-0.06,	19.05,	1.86
33437,	-82.98,	-0.01,	-0.07,	19.06,	1.03
33447,	-104.26,	-0.01,	0.07,	19.07,	-0.02
33457,	65.62,	-0.01,	0.10,	19.07,	0.64
33467,	78.36,	-0.01,	-0.07,	19.08,	1.44
33477,	-92.92,	-0.01,	-0.05,	19.09,	0.50
33487,	-11.36,	-0.01,	0.06,	19.09,	0.38
33497,	79.16,	-0.01,	0.07,	19.10,	1.18
33507,	100.83,	-0.01,	-0.03,	19.12,	2.20
33517,	-68.22,	-0.01,	-0.03,	19.14,	1.51
33527,	17.64,	-0.01,	-0.11,	19.15,	1.69
33538,	-85.20,	-0.01,	-0.04,	19.17,	0.82
33548,	-6.55,	-0.01,	-0.03,	19.17,	0.76
33558,	-13.30,	-0.01,	0.07,	19.18,	0.62
33568,	83.56,	-0.01,	-0.04,	19.19,	1.46
33578,	-93.02,	-0.01,	-0.03,	19.20,	0.52
33588,	-10.14,	-0.01,	-0.01,	19.21,	0.42
33598,	-17.76,	-0.01,	0.07,	19.21,	0.24
33608,	78.98,	-0.01,	0.04,	19.22,	1.04
33618,	0.39,	-0.01,	-0.09,	19.23,	1.04
33628,	-93.28,	-0.01,	0.03,	19.23,	0.11
33638,	83.70,	-0.01,	0.09,	19.24,	0.96
33649,	97.23,	-0.01,	0.05,	19.25,	1.94
33659,	28.38,	-0.01,	-0.10,	19.27,	2.23
33669,	-158.89,	-0.01,	-0.07,	19.29,	0.62
33679,	-3.01,	-0.01,	-0.07,	19.29,	0.59
33689,	-15.01,	-0.01,	0.15,	19.30,	0.44
33699,	181.57,	-0.01,	0.01,	19.31,	2.28
33709,	-71.07,	-0.01,	-0.11,	19.33,	1.56
33719,	-78.62,	-0.01,	-0.11,	19.34,	0.76
33730,	-6.37,	-0.01,	-0.02,	19.35,	0.70
33740,	183.50,	-0.01,	-0.08,	19.37,	2.53
33750,	-67.92,	-0.01,	-0.13,	19.39,	1.85
33760,	-74.52,	-0.01,	-0.05,	19.40,	1.10
33770,	-1.26,	-0.01,	0.06,	19.42,	1.09
33780,	92.47,	-0.01,	-0.04,	19.43,	2.02
33790,	-83.14,	-0.01,	-0.03,	19.45,	1.18
33800,	0.93,	-0.01,	-0.01,	19.46,	1.19
33810,	-5.24,	-0.01,	-0.00,	19.47,	1.14
33820,	-5.18,	-0.01,	-0.00,	19.48,	1.09
33830,	-6.03,	-0.01,	-0.05,	19.49,	1.03
33841,	-105.25,	-0.01,	0.03,	19.50,	-0.04
33851,	67.73,	-0.01,	0.02,	19.50,	0.65
33861,	-17.72,	-0.01,	0.01,	19.51,	0.47
33871,	-14.02,	-0.01,	-0.07,	19.51,	0.33
33881,	-115.51,	-0.01,	0.03,	19.51,	-0.84
33891,	57.05,	-0.01,	0.08,	19.50,	-0.27
33901,	69.01,	-0.01,	0.08,	19.50,	0.43
33911,	93.27,	-0.01,	0.08,	19.51,	1.38
33921,	22.27,	-0.01,	0.08,	19.53,	1.60
33931,	31.05,	-0.01,	-0.01,	19.55,	1.92
33942,	-63.10,	-0.01,	-0.01,	19.56,	1.28
33952,	17.48,	-0.01,	-0.07,	19.58,	1.45
33962,	-84.30,	-0.01,	-0.03,	19.59,	0.61
33972,	-6.15,	-0.01,	0.04,	19.59,	0.55
33982,	86.56,	-0.01,	0.02,	19.60,	1.43
33992,	8.97,	-0.01,	-0.07,	19.62,	1.52
34002,	-83.06,	-0.01,	-0.03,	19.63,	0.68
34012,	-4.81,	-0.01,	-0.02,	19.63,	0.63
34022,	-11.23,	-0.01,	0.04,	19.64,	0.52
34032,	86.82,	-0.01,	0.04,	19.65,	1.40
34042,	8.95,	-0.01,	-0.04,	19.66,	1.49
34052,	-83.09,	-0.01,	0.01,	19.67,	0.65
34063,	-4.75,	-0.01,	0.12,	19.68,	0.61
34073,	87.09,	-0.01,	0.07,	19.69,	1.49
34083,	10.66,	-0.01,	-0.02,	19.71,	1.60
34093,	-81.48,	-0.01,	-0.06,	19.72,	0.78
34103,	-101.65,	-0.01,	0.05,	19.72,	-0.25
34113,	67.61,	-0.01,	0.03,	19.72,	0.44
34123,	-18.66,	-0.01,	0.03,	19.73,	0.25
34133,	-15.02,	-0.01,	0.03,	19.73,	0.10
34143,	81.71,	-0.01,	0.02,	19.73,	0.92
34153,	3.17,	-0.01,	-0.07,	19.74,	0.95
34164,	-88.83,	-0.01,	-0.03,	19.75,	0.04
34174,	-12.41,	-0.01,	0.06,	19.75,	-0.08
34184,	78.41,	-0.01,	0.02,	19.75,	0.70
34194,	0.56,	-0.01,	-0.06,	19.76,	0.71
34204,	-92.50,	-0.01,	0.09,	19.76,	-0.22
34214,	83.78,	-0.01,	0.06,	19.76,	0.63
34224,	-0.77,	-0.01,	0.02,	19.77,	0.62
34234,	5.47,	-0.01,	-0.04,	19.77,	0.68
34244,	-92.50,	-0.01,	-0.03,	19.78,	-0.25
34254,	-16.04,	-0.01,	0.04,	19.77,	-0.41
34264,	75.64,	-0.01,	0.02,	19.77,	0.36
34275,	-3.92,	-0.01,	0.01,	19.78,	0.32
34285,	1.46,	-0.01,	0.00,	19.78,	0.34
34295,	1.41,	-0.01,	0.03,	19.78,	0.35
34305,	1.68,	-0.01,	0.01,	19.79,	0.37
34315,	1.98,	-0.01,	0.01,	19.79,	0.39
34325,	2.34,	-0.01,	0.01,	19.80,	0.41
34335,	2.72,	-0.01,	-0.01,	19.80,	0.44
34345,	-96.38,	-0.01,	0.10,	19.80,	-0.53
34355,	80.33,	-0.01,	0.04,	19.80,	0.28
34365,	-4.82,	-0.01,	0.02,	19.80,	0.23
34376,	0.79,	-0.01,	0.01,	19.80,	0.24
34386,	0.53,	-0.01,	0.12,	19.81,	0.24
34396,	100.17,	-0.01,	-0.00,	19.81,	1.26
34406,	-74.76,	-0.01,	-0.08,	19.82,	0.51
34416,	-89.09,	-0.01,	0.06,	19.82,	-0.39
34426,	81.65,	-0.01,	0.03,	19.82,	0.43
34436,	-2.20,	-0.01,	0.01,	19.83,	0.41
34446,	3.73,	-0.01,	-0.11,	19.83,	0.44
34456,	-95.30,	-0.01,	-0.04,	19.83,	-0.51
34466,	-18.40,	-0.01,	0.03,	19.82,	-0.70
34476,	72.71,	-0.01,	0.02,	19.82,	0.04
34486,	-7.09,	-0.01,	0.06,	19.82,	-0.03
34496,	97.54,	-0.01,	-0.05,	19.83,	0.96
34506,	-78.22,	-0.01,	-0.02,	19.83,	0.18
34517,	6.33,	-0.01,	-0.01,	19.83,	0.24
34527,	1.14,	-0.01,	-0.01,	19.84,	0.25
34537,	1.77,	-0.01,	-0.01,	19.84,	0.27
34547,	2.94,	-0.01,	-0.00,	19.84,	0.30
34557,	2.61,	-0.01,	-0.00,	19.85,	0.33
34567,	3.11,	-0.01,	-0.00,	19.85,	0.36
34577,	3.61,	-0.01,	-0.08,	19.85,	0.39
34587,	-94.97,	-0.01,	0.05,	19.85,	-0.56
34597,	81.43,	-0.01,	0.02,	19.85,	0.27
34607,	-3.39,	-0.01,	0.12,	19.85,	0.23
34617,	101.70,	-0.01,	-0.06,	19.86,	1.26
34627,	-73.71,	-0.01,	-0.03,	19.87,	0.52
34637,	12.09,	-0.01,	-0.01,	19.87,	0.64
34647,	7.68,	-0.01,	-0.01,	19.88,	0.72
34658,	9.26,	-0.01,	-0.11,	19.89,	0.81
34668,	-87.71,	-0.01,	-0.05,	19.89,	-0.07
34678,	-10.69,	-0.01,	0.08,	19.89,	-0.18
34688,	81.04,	-0.01,	0.03,	19.89,	0.64
34698,	2.90,	-0.01,	-0.04,	19.90,	0.66
34708,	-89.57,	-0.01,	-0.10,	19.90,	-0.24
34718,	-111.77,	-0.01,	0.01,	19.89,	-1.36
34728,	55.74,	-0.01,	0.01,	19.88,	-0.80
34738,	-31.95,	-0.01,	0.09,	19.87,	-1.12
34748,	67.70,	-0.01,	0.06,	19.87,	-0.44
34759,	-12.10,	-0.01,	0.10,	19.86,	-0.57
34769,	90.60,	-0.01,	-0.03,	19.86,	0.35
34779,	-85.78,	-0.01,	-0.02,	19.86,	-0.52
34789,	-1.78,	-0.01,	0.07,	19.85,	-0.54
34799,	90.29,	-0.01,	0.03,	19.85,	0.37
34809,	14.01,	-0.01,	0.02,	19.86,	0.51
34819,	21.87,	-0.01,	0.05,	19.86,	0.73
34829,	24.66,	-0.01,	-0.06,	19.87,	0.98
34839,	-71.37,	-0.01,	-0.02,	19.88,	0.25
34849,	9.24,	-0.01,	0.10,	19.88,	0.35
34859,	104.35,	-0.01,	-0.01,	19.89,	1.39
34869,	-70.83,	-0.01,	-0.08,	19.90,	0.68
34879,	-83.38,	-0.01,	0.04,	19.90,	-0.16
34889,	87.79,	-0.01,	0.02,	19.91,	0.72
34900,	4.79,	-0.01,	-0.07,	19.91,	0.77
34910,	-87.11,	-0.01,	-0.04,	19.92,	-0.11
34920,	-9.92,	-0.01,	-0.02,	19.92,	-0.21
34930,	-17.09,	-0.01,	-0.02,	19.91,	-0.38
34940,	-19.08,	-0.01,	0.07,	19.91,	-0.58
34950,	77.31,	-0.01,	0.10,	19.91,	0.21
34960,	-1.74,	-0.01,	0.01,	19.91,	0.19
34970,	3.89,	-0.01,	0.00,	19.91,	0.23
34980,	4.13,	-0.01,	0.00,	19.91,	0.27
34991,	4.80,	-0.01,	0.00,	19.92,	0.32
35001,	5.55,	-0.01,	-0.11,	19.92,	0.37
35011,	-92.58,	-0.01,	-0.07,	19.92,	-0.56
35021,	-15.60,	-0.01,	0.08,	19.91,	-0.72
35031,	75.27,	-0.01,	0.03,	19.91,	0.04
35041,	-3.63,	-0.01,	0.02,	19.91,	0.00
35051,	1.69,	-0.01,	0.01,	19.91,	0.02
35061,	1.60,	-0.01,	0.00,	19.91,	0.03
35071,	1.92,	-0.01,	-0.03,	19.91,	0.05
35081,	2.24,	-0.01,	-0.02,	19.91,	0.07
35091,	2.63,	-0.01,	-0.01,	19.91,	0.10
35101,	3.05,	-0.01,	-0.00,	19.91,	0.13
35111,	3.55,	-0.01,	-0.00,	19.91,	0.17
35121,	4.11,	-0.01,	-0.00,	19.91,	0.21
35132,	4.76,	-0.01,	-0.00,	19.92,	0.26
35142,	5.49,	-0.01,	-0.00,	19.92,	0.31
35152,	6.30,	-0.01,	-0.00,	19.92,	0.38
35162,	8.12,	-0.01,	-0.00,	19.93,	0.46
35172,	8.58,	-0.01,	-0.11,	19.93,	0.54
35182,	-89.16,	-0.01,	-0.05,	19.93,	-0.35
35192,	-11.55,	-0.01,	0.06,	19.93,	-0.46
35202,	80.31,	-0.01,	0.04,	19.93,	0.35
35212,	1.85,	-0.01,	-0.06,	19.93,	0.37
35222,	-91.63,	-0.01,	-0.02,	19.93,	-0.55
35232,	-14.14,	-0.01,	-0.01,	19.93,	-0.69
35242,	-21.93,	-0.01,	-0.01,	19.92,	-0.91
35252,	-24.66,	-0.01,	0.07,	19.91,	-1.16
35262,	71.38,	-0.01,	0.03,	19.90,	-0.44
35272,	-9.06,	-0.01,	0.02,	19.89,	-0.53
35282,	-4.42,	-0.01,	0.01,	19.89,	-0.58
35293,	-5.38,	-0.01,	0.12,	19.88,	-0.63
35303,	92.95,	-0.01,	0.07,	19.88,	0.31
35313,	16.12,	-0.01,	0.03,	19.88,	0.48
35323,	24.39,	-0.01,	0.01,	19.89,	0.72
